id	signature	author	title	first_line	genre_subtitle	source.name	place	year	volume	number	section	page	type	translation	canon_or_not	meter	razmer	regularity	claus	rhyme	graphic_stanzas	stanza_model	stanza_type	other	Nlines	narrator	dir_speech
127	В. Красов	Красов В. И.	Клара Моврай	Кто скачет, кто мчится на белом коне	NA	Киевлянин (в сборнике Поэты кружка Станкевича)	Киев	1840	I	NA	NA	124-126	per	NA	BP	Ам	Ам4-3	reg	мжмж	rhymed	TRUE	Ам4-3aBaB	восьмистишие графически	NA	56	heterodiegetic	FALSE
128	—ва—	Павлова К. К.	Песня	Красив Бригнала брег крутой	NA	ОЗ	СПб.	1840	X	№5	III	3-4	per	W. Scott	BP	Я	Я43	reg	мммм	rhymed	TRUE	Я43abab	катрен	NA	60	heterodiegetic	TRUE
129	К. Айбулат	Айбулат К. М.	Одалиска	Ты мной любима одалиска!	NA	ОЗ	СПб.	1841	XVI	№5	III	92	per	NA	periphery	Я	Я4	reg	ж-м	rhymed	FALSE	unreg	вольная рифмовка	превалирует перекрестная рифмовка	38	heterodiegetic	TRUE
130	Е. Гребенка	Гребенка Е. П.	Песня	Молода еще девица я была	NA	ОЗ	СПб.	1841	XIX	№11	III	65	per	NA	BP	Х	Х6	reg	мм	rhymed	TRUE	Х6aa	графически 12 и 10 строк	NA	22	homodiegetic	TRUE
131	А. Хомяков	Хомяков А. С.	Суета сует	Когда мы разрыли могилу вождя	NA	Москвитянин	М.	1841	Ч.1	№2	NA	23, 348	per	NA	BP	ПМФ	Ам4+Я3	unreg	ммжммж	rhymed	TRUE	Ам44Я3Ам44Я3aaBccB	шестистишие	цезурн. наращения с троках Я3	30	homodiegetic	FALSE
132	А. Кольцов	Кольцов А. В.	Ночь	Не смотря в лицо	NA	ОЗ	СПб.	1841	XIV	№2	III	250	per	NA	canon	Псл	Псл	reg	unreg	unreg	TRUE	ПслO'B'O'B'	четверостишие	NA	44	homodiegetic	TRUE
133	В. Красов	Красов  В. И.	Король	Король был на острове Фуле	NA	ОЗ	СПб.	1841	XIX	№11	III	65	per	J. W. von Goethe	BP	Ам	Ам3	reg	жмжм	unreg	TRUE	Ам3ObOb	четверостишие	NA	24	heterodiegetic	FALSE
134	В. Красов	Красов  В. И.	Русская песня	Ах ты мать моя, змея-мачеха!	NA	ОЗ	СПб.	1841	XVIII	№9	III	58-59	per	NA	BP	Псл	Псл2	reg	unreg	unrhymed	FALSE	unreg	unreg	NA	22	homodiegetic	FALSE
135	В. Красов	Красов В. И.	Песня	Уж как в ту ли ночь	NA	Москвитянин	М.	1841	Ч.5	№9	NA	11-12	per	NA	BP	Псл	Псл	reg	unreg	unrhymed	FALSE	unreg	unreg	NA	36	heterodiegetic	TRUE
136	А. Кульчицкий	Кульчицкий А. Я.	Из Гейне	Я спокойно, спокойно и сладко дремал	NA	ОЗ	СПб.	1841	XVIII	№10	III	307-308	per	NA	periphery	Ан	Ан43	reg	мммм	unreg	TRUE	Ан43obob	четверостишие	NA	28	homodiegetic	TRUE
137	Н. Огарев	Огарев Н. П.	Nocturno	Как пуст мой деревенский дом	NA	ОЗ	СПб.	1841	XIV	№1	III	46	per	NA	canon	Я	Я43	reg	мжмж	rhymed	TRUE	Я43aBaB	восьмистишие графически	NA	32	homodiegetic	FALSE
